trip_id,arrival_time,departure_time,stop_id,stop_name,stop_sequence
2402167,09:00:00,09:00:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402167,09:01:00,09:01:10,stop_point:SP_4764,Muret Gare SNCF,2
2402167,09:03:00,09:03:10,stop_point:SP_4667,Europe,3
2402167,09:04:00,09:04:10,stop_point:SP_4339,Michelet,4
2402167,09:05:00,09:05:10,stop_point:SP_4407,Porte Nord,5
2402167,09:06:00,09:06:10,stop_point:SP_4326,Joffrery Sud,6
2402167,09:07:00,09:07:10,stop_point:SP_4330,J.F. Romieu,7
2402167,09:08:00,09:08:10,stop_point:SP_4399,C.F.A.,8
2402167,09:09:00,09:09:10,stop_point:SP_4353,Déchetterie,9
2402167,09:10:00,09:10:10,stop_point:SP_4377,Z.A. Nord,10
2402167,09:11:00,09:11:10,stop_point:SP_4418,Joffrery Nord,11
2402167,09:12:00,09:12:10,stop_point:SP_4411,Muret Sans Souci,12
2402168,09:30:00,09:30:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402168,09:31:00,09:31:10,stop_point:SP_4764,Muret Gare SNCF,2
2402168,09:33:00,09:33:10,stop_point:SP_4667,Europe,3
2402168,09:34:00,09:34:10,stop_point:SP_4339,Michelet,4
2402168,09:35:00,09:35:10,stop_point:SP_4407,Porte Nord,5
2402168,09:36:00,09:36:10,stop_point:SP_4326,Joffrery Sud,6
2402168,09:37:00,09:37:10,stop_point:SP_4330,J.F. Romieu,7
2402168,09:38:00,09:38:10,stop_point:SP_4399,C.F.A.,8
2402168,09:39:00,09:39:10,stop_point:SP_4353,Déchetterie,9
2402168,09:40:00,09:40:10,stop_point:SP_4377,Z.A. Nord,10
2402168,09:41:00,09:41:10,stop_point:SP_4418,Joffrery Nord,11
2402168,09:42:00,09:42:10,stop_point:SP_4411,Muret Sans Souci,12
2402169,10:00:00,10:00:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402169,10:01:00,10:01:10,stop_point:SP_4764,Muret Gare SNCF,2
2402169,10:03:00,10:03:10,stop_point:SP_4667,Europe,3
2402169,10:04:00,10:04:10,stop_point:SP_4339,Michelet,4
2402169,10:05:00,10:05:10,stop_point:SP_4407,Porte Nord,5
2402169,10:06:00,10:06:10,stop_point:SP_4326,Joffrery Sud,6
2402169,10:08:00,10:08:10,stop_point:SP_4330,J.F. Romieu,7
2402169,10:10:00,10:10:10,stop_point:SP_4399,C.F.A.,8
2402169,10:11:00,10:11:10,stop_point:SP_4353,Déchetterie,9
2402169,10:12:00,10:12:10,stop_point:SP_4377,Z.A. Nord,10
2402169,10:13:00,10:13:10,stop_point:SP_4418,Joffrery Nord,11
2402169,10:14:00,10:14:10,stop_point:SP_4411,Muret Sans Souci,12
2402170,10:30:00,10:30:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402170,10:31:00,10:31:10,stop_point:SP_4764,Muret Gare SNCF,2
2402170,10:33:00,10:33:10,stop_point:SP_4667,Europe,3
2402170,10:34:00,10:34:10,stop_point:SP_4339,Michelet,4
2402170,10:35:00,10:35:10,stop_point:SP_4407,Porte Nord,5
2402170,10:36:00,10:36:10,stop_point:SP_4326,Joffrery Sud,6
2402170,10:38:00,10:38:10,stop_point:SP_4330,J.F. Romieu,7
2402170,10:40:00,10:40:10,stop_point:SP_4399,C.F.A.,8
2402170,10:41:00,10:41:10,stop_point:SP_4353,Déchetterie,9
2402170,10:42:00,10:42:10,stop_point:SP_4377,Z.A. Nord,10
2402170,10:43:00,10:43:10,stop_point:SP_4418,Joffrery Nord,11
2402170,10:44:00,10:44:10,stop_point:SP_4411,Muret Sans Souci,12
2402171,11:00:00,11:00:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402171,11:01:00,11:01:10,stop_point:SP_4764,Muret Gare SNCF,2
2402171,11:03:00,11:03:10,stop_point:SP_4667,Europe,3
2402171,11:04:00,11:04:10,stop_point:SP_4339,Michelet,4
2402171,11:05:00,11:05:10,stop_point:SP_4407,Porte Nord,5
2402171,11:06:00,11:06:10,stop_point:SP_4326,Joffrery Sud,6
2402171,11:08:00,11:08:10,stop_point:SP_4330,J.F. Romieu,7
2402171,11:10:00,11:10:10,stop_point:SP_4399,C.F.A.,8
2402171,11:11:00,11:11:10,stop_point:SP_4353,Déchetterie,9
2402171,11:12:00,11:12:10,stop_point:SP_4377,Z.A. Nord,10
2402171,11:13:00,11:13:10,stop_point:SP_4418,Joffrery Nord,11
2402171,11:14:00,11:14:10,stop_point:SP_4411,Muret Sans Souci,12
2402172,11:30:00,11:30:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402172,11:31:00,11:31:10,stop_point:SP_4764,Muret Gare SNCF,2
2402172,11:33:00,11:33:10,stop_point:SP_4667,Europe,3
2402172,11:34:00,11:34:10,stop_point:SP_4339,Michelet,4
2402172,11:35:00,11:35:10,stop_point:SP_4407,Porte Nord,5
2402172,11:36:00,11:36:10,stop_point:SP_4326,Joffrery Sud,6
2402172,11:38:00,11:38:10,stop_point:SP_4330,J.F. Romieu,7
2402172,11:40:00,11:40:10,stop_point:SP_4399,C.F.A.,8
2402172,11:41:00,11:41:10,stop_point:SP_4353,Déchetterie,9
2402172,11:42:00,11:42:10,stop_point:SP_4377,Z.A. Nord,10
2402172,11:43:00,11:43:10,stop_point:SP_4418,Joffrery Nord,11
2402172,11:44:00,11:44:10,stop_point:SP_4411,Muret Sans Souci,12
2402173,12:00:00,12:00:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402173,12:01:00,12:01:10,stop_point:SP_4764,Muret Gare SNCF,2
2402173,12:03:00,12:03:10,stop_point:SP_4667,Europe,3
2402173,12:04:00,12:04:10,stop_point:SP_4339,Michelet,4
2402173,12:05:00,12:05:10,stop_point:SP_4407,Porte Nord,5
2402173,12:06:00,12:06:10,stop_point:SP_4326,Joffrery Sud,6
2402173,12:08:00,12:08:10,stop_point:SP_4330,J.F. Romieu,7
2402173,12:10:00,12:10:10,stop_point:SP_4399,C.F.A.,8
2402173,12:11:00,12:11:10,stop_point:SP_4353,Déchetterie,9
2402173,12:12:00,12:12:10,stop_point:SP_4377,Z.A. Nord,10
2402173,12:13:00,12:13:10,stop_point:SP_4418,Joffrery Nord,11
2402173,12:14:00,12:14:10,stop_point:SP_4411,Muret Sans Souci,12
2402174,12:30:00,12:30:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402174,12:31:00,12:31:10,stop_point:SP_4764,Muret Gare SNCF,2
2402174,12:33:00,12:33:10,stop_point:SP_4667,Europe,3
2402174,12:34:00,12:34:10,stop_point:SP_4339,Michelet,4
2402174,12:35:00,12:35:10,stop_point:SP_4407,Porte Nord,5
2402174,12:36:00,12:36:10,stop_point:SP_4326,Joffrery Sud,6
2402174,12:37:00,12:37:10,stop_point:SP_4330,J.F. Romieu,7
2402174,12:38:00,12:38:10,stop_point:SP_4399,C.F.A.,8
2402174,12:39:00,12:39:10,stop_point:SP_4353,Déchetterie,9
2402174,12:40:00,12:40:10,stop_point:SP_4377,Z.A. Nord,10
2402174,12:41:00,12:41:10,stop_point:SP_4418,Joffrery Nord,11
2402174,12:42:00,12:42:10,stop_point:SP_4411,Muret Sans Souci,12
2402175,14:00:00,14:00:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402175,14:01:00,14:01:10,stop_point:SP_4764,Muret Gare SNCF,2
2402175,14:03:00,14:03:10,stop_point:SP_4667,Europe,3
2402175,14:04:00,14:04:10,stop_point:SP_4339,Michelet,4
2402175,14:05:00,14:05:10,stop_point:SP_4407,Porte Nord,5
2402175,14:06:00,14:06:10,stop_point:SP_4326,Joffrery Sud,6
2402175,14:07:00,14:07:10,stop_point:SP_4330,J.F. Romieu,7
2402175,14:08:00,14:08:10,stop_point:SP_4399,C.F.A.,8
2402175,14:09:00,14:09:10,stop_point:SP_4353,Déchetterie,9
2402175,14:10:00,14:10:10,stop_point:SP_4377,Z.A. Nord,10
2402175,14:11:00,14:11:10,stop_point:SP_4418,Joffrery Nord,11
2402175,14:12:00,14:12:10,stop_point:SP_4411,Muret Sans Souci,12
2402176,14:30:00,14:30:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402176,14:31:00,14:31:10,stop_point:SP_4764,Muret Gare SNCF,2
2402176,14:33:00,14:33:10,stop_point:SP_4667,Europe,3
2402176,14:34:00,14:34:10,stop_point:SP_4339,Michelet,4
2402176,14:35:00,14:35:10,stop_point:SP_4407,Porte Nord,5
2402176,14:36:00,14:36:10,stop_point:SP_4326,Joffrery Sud,6
2402176,14:37:00,14:37:10,stop_point:SP_4330,J.F. Romieu,7
2402176,14:38:00,14:38:10,stop_point:SP_4399,C.F.A.,8
2402176,14:39:00,14:39:10,stop_point:SP_4353,Déchetterie,9
2402176,14:40:00,14:40:10,stop_point:SP_4377,Z.A. Nord,10
2402176,14:41:00,14:41:10,stop_point:SP_4418,Joffrery Nord,11
2402176,14:42:00,14:42:10,stop_point:SP_4411,Muret Sans Souci,12
2402177,15:00:00,15:00:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402177,15:01:00,15:01:10,stop_point:SP_4764,Muret Gare SNCF,2
2402177,15:03:00,15:03:10,stop_point:SP_4667,Europe,3
2402177,15:04:00,15:04:10,stop_point:SP_4339,Michelet,4
2402177,15:05:00,15:05:10,stop_point:SP_4407,Porte Nord,5
2402177,15:06:00,15:06:10,stop_point:SP_4326,Joffrery Sud,6
2402177,15:07:00,15:07:10,stop_point:SP_4330,J.F. Romieu,7
2402177,15:08:00,15:08:10,stop_point:SP_4399,C.F.A.,8
2402177,15:09:00,15:09:10,stop_point:SP_4353,Déchetterie,9
2402177,15:10:00,15:10:10,stop_point:SP_4377,Z.A. Nord,10
2402177,15:11:00,15:11:10,stop_point:SP_4418,Joffrery Nord,11
2402177,15:12:00,15:12:10,stop_point:SP_4411,Muret Sans Souci,12
2402178,15:30:00,15:30:10,stop_point:SP_4795,Muret Gare SNCF - Parvis,1
2402178,15:31:00,15:31:10,stop_point:SP_4764,Muret Gare SNCF,2
2402178,15:33:00,15:33:10,stop_point:SP_4667,Europe,3
2402178,15:34:00,15:34:10,stop_point:SP_4339,Michelet,4
2402178,15:35:00,15:35:10,stop_point:SP_4407,Porte Nord,5
2402178,15:36:00,15:36:10,stop_point:SP_4326,Joffrery Sud,6
